COMPENSATION RANGE,,,CONTRIBUTION
"Below 3,250",,,135.00
"3,250",-,"3,750",157.50
"3,750",-,"4,250",180.00
"4,250",-,"4,750",202.50
"4,750",-,"5,250",225.00
"5,250",-,"5,750",247.50
"5,750",-,"6,250",270.00
"6,250",-,"6,750",292.50
"6,750",-,"7,250",315.00
"7,250",-,"7,750",337.50
"7,750",-,"8,250",360.00
"8,250",-,"8,750",382.50
"8,750",-,"9,250",405.00
"9,250",-,"9,750",427.50
"9,750",-,"10,250",450.00
"10,250",-,"10,750",472.50
"10,750",-,"11,250",495.00
"11,250",-,"11,750",517.50
"11,750",-,"12,250",540.00
"12,250",-,"12,750",562.50
"12,750",-,"13,250",585.00
"13,250",-,"13,750",607.50
"13,750",-,"14,250",630.00
"14,250",-,"14,750",652.50
"14,750",-,"15,250",675.00
"15,250",-,"15,750",697.50
"15,750",-,"16,250",720.00
"16,250",-,"16,750",742.50
"16,750",-,"17,250",765.00
"17,250",-,"17,750",787.50
"17,750",-,"18,250",810.00
"18,250",-,"18,750",832.50
"18,750",-,"19,250",855.00
"19,250",-,"19,750",877.50
"19,750",-,"20,250",900.00
"20,250",-,"20,750",922.50
"20,750",-,"21,250",945.00
"21,250",-,"21,750",967.50
"21,750",-,"22,250",990.00
"22,250",-,"22,750","1,012.50"
"22,750",-,"23,250","1,035.00"
"23,250",-,"23,750","1,057.50"
"23,750",-,"24,250","1,080.00"
"24,250",-,"24,750","1,102.50"
"24,750",-,Over,"1,125.00"